Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.12596858,-0.10908868,0.22325227,0.29564407,0.35489282,-0.31583387,-0.03133058,0.5111311,0.9435835,0.11033828,0.5183155,0.8977318,0.5544702,-0.19959716,0.3160053,0.3274973,0.28632826,-0.55467844,-0.19531916,0.41730425,Doctor
0.4220265,-0.14079528,0.25759327,0.4047834,0.4630875,-0.03227756,-0.090774044,0.3688632,0.9182762,0.3689831,0.51406544,0.85493296,0.57697004,-0.026136974,0.29440615,0.4473584,0.27548528,-0.51928854,0.17781763,0.22371005,Doctor
0.533951,-0.024676662,0.4141196,0.65893936,0.47523326,0.10662783,0.07587294,0.65118164,0.79740006,0.5737952,0.41717035,1.0175927,0.46065986,0.10846202,0.42515773,0.3556844,0.3108953,-0.22548163,0.22986497,0.39801952,Doctor
0.7895795,0.04595048,0.15968636,1.0119841,0.94318676,0.13468504,-0.06255747,0.9477323,1.2908273,0.5984946,0.17312416,1.1142663,0.5169371,0.036931265,0.29747725,0.5096448,0.39829257,-0.19212894,0.09643803,0.35883525,Doctor
0.5285736,-0.06501208,0.2863158,0.6046926,0.9658334,0.019553952,-0.15257159,0.8743344,1.2154286,0.31708315,0.17265294,1.0833988,0.45998475,-0.04476612,0.24343848,0.4410858,0.50739497,-0.3336987,0.07831666,0.26398215,Doctor
0.49312204,0.038491696,0.16843498,0.48007247,0.5970159,0.120009646,-0.18751462,0.40997365,0.5982043,-0.05206948,0.1668981,0.62206465,0.3962043,-0.015692707,0.19173747,0.37978208,0.45579103,-0.43507776,-0.008444323,0.27080455,Doctor
0.5156684,-0.0070370627,0.1114718,0.6148905,0.35326543,-0.15593553,-0.16322988,-0.19282012,0.4961728,-0.1861427,0.16900067,0.61111516,0.48272398,-0.22663996,0.066825874,0.47346863,0.19603017,-0.4858261,0.0443623,0.16904636,Doctor
0.50157166,-0.22877817,0.10155641,0.4439406,0.03921713,-0.11741772,-0.23128574,0.097608805,0.767399,0.026466504,0.11200462,0.73783094,0.49930465,-0.22392908,0.018426543,0.45416582,0.23632574,-0.36562362,0.13870345,0.20026061,Doctor
0.31992793,-0.16766608,0.1943059,0.46114948,0.5467023,-0.08722351,-0.10905949,0.48039156,0.84340775,0.056926046,0.05368745,0.84789866,0.48471925,-0.22208776,0.16061395,0.42281958,0.41343814,-0.23039462,0.085246645,0.3608245,Doctor
0.06714023,-0.2011954,0.03937725,0.56502324,0.6310919,-0.32369572,0.17180333,0.8762471,0.67139876,-0.0037313688,0.601878,1.2165561,0.490236,-0.13921629,0.16641182,0.43083006,0.45337126,-0.27125707,0.04598945,0.35037303,Doctor
0.4222041,-0.11617482,0.20307639,0.50561017,0.54817814,-0.2011464,0.21776669,0.9011304,0.8668885,-0.019609801,0.5960174,1.1824938,0.39054343,-0.11600654,0.10882926,0.5119713,0.14816618,-0.4633974,-0.013155866,0.22977567,Doctor
0.6810568,-0.004406285,0.18604918,0.5274981,0.7173381,0.07096593,0.19449466,0.87133,1.0362496,0.042439014,0.5721102,1.1827809,0.49199247,-0.012203416,0.16253516,0.45835158,0.23081076,-0.39608935,0.09709756,0.23793904,Doctor
0.83954024,0.45194826,0.3207179,0.6703823,1.1353617,0.1747154,-0.03952622,1.018637,1.4861857,0.49331474,0.3532462,1.1827809,0.4371265,-0.034806497,0.17969863,0.44735846,0.4068277,-0.30321726,0.06252965,0.1859034,Doctor
1.1112227,0.9668769,0.6677813,1.0581815,1.0282683,0.28643194,0.26000574,0.8852125,1.4905967,0.5211526,0.42004907,1.0317523,0.4723058,0.09094352,0.1619481,0.491789,0.21286559,-0.3071058,0.19231772,0.21859147,Doctor
0.8063521,0.38958976,0.3980507,0.62446314,0.72880805,-0.04849781,-0.05318737,0.85285825,1.0113313,0.2408429,0.36471575,0.7349142,0.48972896,-0.0056441715,0.27301243,0.42253825,0.15096678,-0.24521078,0.115996934,0.2457021,Doctor
0.35573804,-0.040954214,-0.11724989,0.45375392,0.45236772,-0.010137289,-0.3851839,0.45576766,0.82019573,0.2759262,0.12390815,0.8876718,0.5178654,-0.024226673,0.2025167,0.566714,0.2113329,-0.31820446,0.021963082,0.28129965,Doctor
0.27542523,-0.055898096,0.05920378,0.38896096,0.63730156,-0.10839747,-0.11532757,0.3995166,1.0050392,0.28933012,0.23268616,0.94606173,0.53741735,0.003766624,0.31040436,0.5727532,0.26686102,-0.3836384,0.1061275,0.20519285,Doctor
0.46177867,-0.026423138,0.014993454,0.5334053,0.62197363,-0.28275505,0.02171716,0.30079234,1.0126795,-0.004236995,0.20099486,0.9489178,0.48519593,-0.07954709,0.06454872,0.4877284,0.22941461,-0.40180406,0.045479372,0.18666275,Doctor
0.52280325,0.22690164,-0.065854765,0.7595511,0.6441852,0.19758053,0.12962154,0.6610743,0.9559519,0.15452333,0.39582348,0.9465209,0.44005662,-0.3380314,0.13813414,0.38372716,0.2895507,-0.5425724,-0.109370455,0.14102031,Doctor
0.35689077,0.46538198,0.19306482,0.72804207,0.8092612,0.2864044,0.29854795,0.87060463,0.89788604,0.4066071,0.37902892,0.91808295,0.43134862,-0.110844396,0.08723536,0.34676042,0.2578358,-0.33632636,-0.12812641,0.031071588,Doctor
0.19823366,-0.026102297,0.3442285,0.52388424,0.6407418,0.14138313,0.24506089,0.5752531,1.184612,0.3827625,0.40780428,0.77148944,0.55205333,-0.14112096,0.15379143,0.5204655,0.14174636,-0.33892003,-0.080310896,0.17280458,Doctor
0.16719107,0.06913706,0.30236116,0.57418096,0.5095631,-0.35733247,0.12364253,0.55893874,0.97197914,-0.007645819,0.36728272,0.71596587,0.43604222,-0.08439481,0.28761205,0.34063047,0.22587714,-0.33885077,-0.07739028,0.17792168,Doctor
0.49393246,0.07587427,0.111426294,0.6617143,0.38470703,-0.29635188,0.19814588,0.40275496,0.5455845,0.09362837,0.20350225,0.73320186,0.46097952,-0.01627441,0.29080194,0.45479083,0.19529665,-0.23997174,0.07508994,0.31537643,Doctor
0.49203938,0.11405614,-0.1640542,0.6281561,0.5376628,-0.2988246,0.22640745,0.429424,0.78352195,0.18665887,0.14154817,0.86396915,0.47997507,0.099893846,0.22372393,0.55133617,0.26783216,-0.27630734,0.20854221,0.32119945,Doctor
0.7179504,-0.026747325,-0.11165749,0.40088904,0.7897453,-0.010021651,0.12334781,0.40841627,0.94395036,0.15792936,0.2137666,0.69338256,0.43146628,0.019949706,0.44369134,0.50165343,0.22843003,-0.310144,0.3523689,0.3012265,Doctor
0.38957456,-0.22196083,-0.08538806,0.2410755,0.6128417,-0.14874452,-0.10814393,0.1464672,0.8413953,0.036075193,0.25621215,0.6815146,0.46130314,-0.078788295,0.57761216,0.46904293,0.14313295,-0.3860638,0.19623597,0.30142465,Doctor
0.45191807,0.052939706,-0.035836842,0.55580753,0.656444,0.08403054,-0.110333435,0.73428094,0.87679976,0.18953033,-0.031529244,0.9128537,0.46839797,0.07743583,0.45796734,0.5040097,0.2969126,-0.26456994,-0.07849199,0.24789634,Doctor
0.5499409,-0.21798533,0.17309189,0.7972681,0.864274,0.11709086,0.017936554,0.72493607,0.8808283,0.38467127,0.24938917,0.95384526,0.43042254,0.05555238,0.34789795,0.22059281,0.2028851,-0.2975691,0.010581738,0.20149499,Doctor
0.5550995,0.07760973,0.2724803,0.58119947,0.62557924,-0.08786996,0.17239352,0.62816805,0.9241829,0.29892358,0.18842965,0.91215634,0.4690061,0.025491722,0.24360646,0.4700304,0.10955156,-0.3200969,0.084013276,0.38793567,Doctor
0.5788105,-0.12645929,-0.4843094,0.3824612,0.61513734,-0.34544727,-0.20164579,0.54729676,1.0331037,0.23585749,0.18397841,0.8137325,0.49204215,-0.054577064,0.09009517,0.48731047,0.23633766,-0.38691378,0.054321144,0.3644924,Doctor
0.4725193,-0.37459943,-0.06343476,0.39519605,0.52741873,-0.21049733,0.0583512,0.37839276,1.0837811,0.1288628,0.4333045,0.94718677,0.36799267,-0.017368918,0.25722045,0.40019804,0.19906592,-0.25722605,0.27389416,0.20031549,Doctor
0.6903815,-0.00333959,0.014619497,0.38463905,0.6058861,-0.09944778,-0.03342541,0.517899,1.0902143,0.15259273,0.42649952,0.9277117,0.37945095,-0.053639006,0.30317032,0.45075163,0.32142016,-0.28672564,0.27146414,0.20737827,Doctor
0.705018,0.101935014,0.037981752,0.3582868,0.5030063,-0.2564118,0.015614991,0.7620487,1.015304,0.25594816,0.46752232,1.2155954,0.32898206,-0.08188025,0.23667045,0.46747854,0.3899742,-0.26077324,0.14951447,0.13027531,Doctor
0.5310952,0.18016045,0.2500144,0.33283448,0.51528573,-0.110268526,0.11612625,0.5206195,0.9599231,0.25507098,0.43891865,1.1980785,0.36075386,-0.13413754,0.22070132,0.49109074,0.3661604,-0.20349199,0.13869038,0.08159003,Doctor
0.57558566,1.0652184,0.60043466,0.61321855,0.5482273,0.14039503,0.2426711,0.58572346,0.71703726,0.3560163,0.1611333,0.49550462,0.46857375,-0.19201824,0.26912227,0.5727452,0.46624845,-0.5212168,0.10145511,0.11735362,Doctor
0.35340667,0.57651556,0.7767632,0.29941872,0.42745894,-0.14735174,0.23884478,0.39810696,1.043301,0.19393867,0.039639052,0.94282144,0.46314827,-0.12146839,0.20077875,0.48019966,0.17019695,-0.37122232,0.075287096,0.20553237,Doctor
0.3259731,-0.26270673,0.61474967,0.601048,0.459352,-0.34037668,0.064891145,0.50873595,1.1067373,0.21833758,0.34352985,0.89230686,0.35093185,-0.15941235,0.2040131,0.4259732,0.2313488,-0.22160336,-0.08391363,0.348142,Doctor
0.517288,-0.19961007,0.17955145,0.47019103,0.4220661,-0.32218942,0.019853754,0.38322386,0.74624467,0.11978921,0.5085749,0.7048539,0.2417628,-0.21680018,0.3020746,0.51929694,0.32063437,-0.27464473,-0.05309928,0.29549,Doctor
0.54341877,0.17895825,0.31283236,0.7147241,0.41031918,-0.33541018,-0.050835956,0.31723022,1.0295035,0.20740935,0.47442436,0.6238757,0.3813068,-0.071833596,0.26258034,0.5803686,0.25179803,-0.20005229,0.14111434,0.25730836,Doctor
0.47713724,0.14043766,0.42684236,0.58262503,0.6591929,-0.047514204,0.018296704,0.5778256,1.1314864,0.37448588,0.2374148,0.99046665,0.37941095,-0.034032207,0.31877765,0.6021565,0.11953893,-0.2803126,0.2193938,0.18690601,Doctor
0.46928257,0.11935848,0.21252805,0.59092563,0.4099203,-0.06121791,-0.17356898,0.23274662,1.0531975,0.39970034,0.13363104,0.89315647,0.394369,-0.2364769,0.23032825,0.59234333,0.13107815,-0.3557557,0.10967489,0.1826639,Doctor
0.5657488,0.12972839,0.10320086,0.5805305,0.61041397,-0.08940114,-0.37313166,0.42891833,0.9762372,0.22904007,0.16804564,0.8412787,0.41810277,-0.13658759,0.37527624,0.485423,0.14679995,-0.4794673,0.16397634,0.2967122,Doctor
0.30864358,-0.43581083,0.22792351,0.34287807,0.7020848,-0.11234434,-0.40290934,0.6679766,1.1366962,0.24312876,0.17897011,0.91056776,0.36068738,0.0053978804,0.37466615,0.50338554,0.103800245,-0.42907855,0.21283607,0.289032,Doctor
0.27963233,0.24193197,0.012123796,0.20023178,0.4598538,-0.27845022,0.15324849,0.22050606,1.1705382,0.11434625,0.35628945,0.6506781,0.45155132,0.022806097,0.21657456,0.48782012,0.005059174,-0.31516454,0.09560021,0.19679217,Doctor
0.88774985,0.5110205,0.03726383,0.015913801,0.7990529,-0.22674172,0.15981986,0.3178594,0.97378623,0.09329406,0.33415204,0.62609166,0.4350795,0.061301045,0.2937125,0.29092532,0.16135506,-0.248438,0.12227132,0.07531802,Doctor
0.5955572,0.05825194,0.15054695,0.5533287,0.5595743,-0.33177727,-0.123708345,0.5570552,0.94352055,0.21785398,0.40039217,1.0519245,0.6563537,0.019595614,0.3625319,0.5333985,0.27040187,-0.3449313,0.06498808,0.32825634,Doctor
0.46399572,-0.13337058,0.20026185,0.541816,0.45045227,-0.09242364,-0.06751748,0.56645244,1.108053,0.33495522,0.16931924,1.0742162,0.48983917,-0.09182462,0.19285537,0.53098917,0.24774069,-0.4426534,0.04436502,0.26669204,Doctor
0.6136928,0.0035771343,0.31601083,0.5218033,0.3357587,-0.1285455,0.102160126,0.5486054,0.94798845,0.3240628,0.090500996,0.98383504,0.44281244,-0.08679398,0.2980217,0.50611854,0.24749397,-0.34749314,-0.022665668,0.08971147,Doctor
0.19219941,-0.45354304,0.28439397,0.36783114,0.27141485,-0.60474104,0.34649014,0.6148653,1.0476246,0.34348527,0.31256148,0.89039266,0.4072057,-0.1535831,0.44612333,0.39395028,0.22905019,-0.25621966,0.02021292,0.15444925,Doctor
