Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
1.0356688,0.29182088,0.43649277,0.99356055,0.30712324,0.1812238,-0.4075986,0.37671146,0.64381355,0.22734384,-0.4285829,0.76296914,0.7651725,0.90883785,0.85694504,0.7807773,0.2451157,0.56922203,0.49540803,0.14990291,Doctor
0.92144984,0.30112404,0.43649277,1.0101411,0.5436831,0.20623298,-0.4075986,0.47197294,0.86207086,0.2257298,-0.4285829,0.6795229,0.69534236,0.93198985,0.85694504,0.7144808,0.21024098,0.60519856,0.49540803,0.22419114,Doctor
0.91993314,0.30112404,0.43649277,1.032751,0.7441924,0.20623298,-0.4075986,0.65743005,1.0929632,0.2257298,-0.4285829,1.0051855,0.6586213,0.93198985,0.85694504,0.63487643,0.29499042,0.60519856,0.49540803,0.36511463,Doctor
0.88801783,0.30112404,0.43649277,0.8547069,0.71917206,0.20623298,-0.4075986,0.6632562,1.0915352,0.2257298,-0.4285829,1.0592066,0.6142472,0.93198985,0.85694504,0.6260957,0.25152913,0.60519856,0.49540803,0.4151836,Doctor
0.82090247,0.30112404,0.41395164,0.7755906,0.56219023,0.20623298,-0.12314321,0.5481585,1.1783485,0.2257298,0.19263245,1.0890695,0.72258633,0.93198985,0.79127264,0.65477747,0.19562295,0.60519856,0.58823794,0.35011175,Doctor
0.78945434,0.5189515,0.30593255,0.81173337,0.45206523,0.16806562,-0.16257046,0.5934612,1.037261,0.60072964,0.19565874,1.0291744,0.7104419,0.86593026,0.7932346,0.6029558,0.08557761,0.58218354,0.57510406,0.25018728,Doctor
0.80849934,0.51516116,0.26213568,0.88400406,0.5590884,0.15104479,-0.17647947,0.65975094,1.0331482,0.6012777,0.25234938,1.0106857,0.742059,0.98926926,0.8309111,0.59364784,0.08394101,0.54597735,0.5402785,0.1869982,Doctor
0.7585059,0.7349042,0.3005223,0.9023456,0.5926879,0.15624094,-0.25848073,0.6711966,0.90587914,0.49952284,0.33086142,0.9033118,0.6230862,1.0051388,0.8239532,0.5347385,0.18699233,0.5275337,0.48321554,0.23411658,Doctor
0.6715298,0.7292549,0.29106948,0.753595,0.5377624,0.13395226,-0.19421592,0.5195895,0.75178075,0.30462548,0.3947245,0.88369083,0.6328689,1.0396124,0.8095262,0.6494404,0.18774061,0.53417087,0.5097195,0.29013386,Doctor
0.45492753,0.7715581,0.19550183,0.5776543,0.3950204,0.10243032,-0.17549235,0.4473245,0.7242889,0.052371383,0.26845482,0.9503828,0.5701576,0.94090044,0.6914642,0.6119271,0.19813465,0.55399513,0.53339964,0.30368757,Doctor
0.5737023,0.35210687,0.0070904684,0.6773462,0.42437866,-0.09414014,-0.17128642,0.45373327,0.73867905,-0.019349352,0.26973605,0.9854498,0.55660045,0.9585506,0.64549536,0.69311714,0.20029715,0.4991103,0.49724728,0.33238307,Doctor
0.66773605,0.35210687,0.0052581443,0.7471255,0.6410832,-0.09414014,0.007852963,0.76249295,0.9220514,-0.019349352,0.61339337,1.0676312,0.5769735,0.9585506,0.635932,0.59761643,0.2443756,0.4991103,0.481648,0.39209178,Doctor
0.7920337,0.44079715,0.102058895,0.9535366,0.7218245,0.31934562,0.025313308,0.7520669,0.91832495,0.38247398,0.63640004,1.2317636,0.67883027,1.0285386,0.6939499,0.6132054,0.27103862,0.59429455,0.45082548,0.35810593,Doctor
