Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.70452094,0.25537044,0.14584944,0.65232337,0.3816315,-0.047079697,-0.3251874,0.36563286,0.50799125,-0.048821226,0.13183743,0.6785807,0.32639897,0.20736516,0.13527267,0.45970803,-0.1988134,-0.14096001,-0.15688087,0.04047576,Doctor
0.7890431,0.5596064,0.42157286,0.45360726,0.12979895,0.26624078,0.26649377,0.34260738,0.47973388,0.014259661,0.36981827,0.38950533,0.39904204,0.23266996,0.14528804,0.42105302,-0.2545887,-0.15129577,-0.19468594,-0.031183988,Doctor
0.9727465,0.7050112,0.53166795,0.52109337,0.1808529,0.47039956,0.5019369,0.46560803,0.29465646,0.06172494,0.42289597,0.30538386,0.55614865,0.25940952,0.12287717,0.41008872,-0.1527573,-0.13432705,-0.18844405,-0.006931754,Doctor
0.65172774,0.69563025,0.4565716,0.52109337,0.64074033,0.46748847,0.5412435,0.46560803,0.5891855,0.058378205,0.40332413,0.30538386,0.19948585,0.21342333,0.0675451,0.41008872,0.05493603,-0.22209178,-0.10283162,-0.006931754,Doctor
0.6975688,0.35442278,0.052035637,0.5511717,0.6964154,0.2634834,0.26359922,0.46376827,0.6811895,0.07293687,0.14926293,0.3666678,0.34188455,0.23860307,0.05124407,0.49597678,0.19430499,-0.15650345,-0.14709309,0.215548,Doctor
0.7343919,0.18964782,-0.11347378,0.5511717,0.6315214,0.34067452,0.09187125,0.46376827,0.87817544,0.21477522,-0.15752041,0.3666678,0.53666854,0.5350563,0.066462584,0.49597678,0.48499742,0.33188552,-0.20175251,0.215548,Doctor
0.68923604,0.29948163,0.029331999,0.5629897,0.545155,0.37824145,0.056495756,0.4152952,0.8648396,0.20329933,-0.4402016,0.52229583,0.63760793,0.5726021,0.16634165,0.5102545,0.52151525,0.34612137,-0.32751274,0.20441876,Doctor
0.6285934,0.50274277,-0.042689424,0.5629897,0.4884146,0.30232975,-0.4977682,0.4152952,0.8156315,0.18227842,-0.12150295,0.52229583,0.6308889,0.55774605,0.03823506,0.5102545,0.4377389,0.34622616,0.11249077,0.20441876,Doctor
0.74850726,0.71499044,-0.08814711,0.5629897,0.50320816,0.06949017,-0.29652935,0.4152952,0.8331471,0.06366504,-0.00896743,0.52229583,0.42549118,0.31589934,0.07516186,0.5102545,-0.18603477,-0.19746587,0.0337238,0.20441876,Doctor
0.82695675,0.75214285,0.17750238,0.5629897,0.55797946,0.09154056,-0.10523606,0.4152952,0.8838406,0.06366504,0.16207276,0.52229583,0.35877365,0.33097506,0.13042125,0.5102545,-0.1640925,-0.20221357,-0.03436413,0.20441876,Doctor
0.87361234,0.703335,0.772407,0.5629897,0.4562581,0.07323008,0.3616021,0.4152952,0.8549237,0.054905977,0.37809575,0.52229583,0.3319256,0.32707512,0.17087777,0.5102545,-0.22233653,-0.2203287,-0.09650114,0.20441876,Doctor
0.8768313,0.41089118,0.85339034,0.5629897,0.5692622,-0.017232837,0.37115857,0.4152952,0.79264146,0.19822925,0.3753927,0.52229583,0.29209664,0.33585912,0.13769467,0.5102545,-0.27742356,-0.11458341,-0.1557404,0.20441876,Doctor
0.8768313,0.6611923,0.9040144,0.5629897,0.5692622,0.1743071,0.4165401,0.4152952,0.79264146,0.2980967,0.43542853,0.52229583,0.29209664,0.37261802,0.13005818,0.5102545,-0.27742356,-0.15133634,-0.24319695,0.20441876,Doctor
0.8768313,0.6611923,1.1119969,0.5629897,0.5692622,0.1743071,0.61390454,0.4152952,0.79264146,0.2980967,0.40732133,0.52229583,0.29209664,0.37261802,0.08352977,0.5102545,-0.27742356,-0.15133634,-0.41912553,0.20441876,Doctor
0.8768313,0.6196783,1.1433599,0.5629897,0.5692622,0.37494263,0.6442852,0.4152952,0.79264146,0.3681869,0.40732133,0.52229583,0.29209664,0.33776513,0.059434824,0.5102545,-0.27742356,-0.35009032,-0.52302873,0.20441876,Doctor
0.8768313,0.6503323,1.0791337,0.5629897,0.5692622,0.18168578,0.5681693,0.4152952,0.79264146,0.45875722,0.38326278,0.52229583,0.29209664,0.24079715,-0.0888017,0.5102545,-0.27742356,-0.28430152,-0.44681042,0.20441876,Doctor
0.8768313,0.6503323,0.90842265,0.5629897,0.5692622,0.18168578,0.65452474,0.4152952,0.79264146,0.45875722,0.4301467,0.52229583,0.29209664,0.24079715,-0.17704695,0.5102545,-0.27742356,-0.28430152,-0.31763044,0.20441876,Doctor
0.8768313,0.84941125,1.0787222,0.5629897,0.5692622,0.036460664,0.8208797,0.4152952,0.79264146,0.3182693,0.5534806,0.52229583,0.29209664,0.27703816,-0.06421316,0.5102545,-0.27742356,-0.17053582,-0.2365568,0.20441876,Doctor
0.8768313,0.6170102,1.065603,0.5629897,0.5692622,0.28384057,0.8056595,0.4152952,0.79264146,0.3249075,0.5680016,0.52229583,0.29209664,0.3674848,0.012047577,0.5102545,-0.27742356,-0.30407247,-0.2590732,0.20441876,Doctor
0.51857346,0.42033246,0.61004245,0.5877278,0.07985398,0.16395374,0.22882675,0.11759632,0.61219,0.3303501,0.4593831,0.6574467,0.19139838,0.27909574,0.0475226,0.37652454,-0.075063914,-0.37695214,-0.36919087,-0.024104908,Doctor
0.4012399,0.3194426,-0.07502425,0.48196658,0.28684533,0.05449138,-0.07181165,0.11607506,0.61960673,0.29357657,0.33037987,0.66015464,0.15980856,0.24051145,-0.045327514,0.4384852,0.0360299,-0.35823968,-0.3686122,0.031565767,Doctor
0.2623024,0.42417693,0.1701074,0.48196658,0.33747283,0.294176,0.22472337,0.11607506,0.57421726,0.43668115,0.30903196,0.66015464,0.11050032,0.21584892,-0.073244065,0.4384852,0.07770334,-0.31497967,-0.3163872,0.031565767,Doctor
0.23808609,0.7816097,0.69629073,0.24256116,0.46661982,0.6182753,0.6131819,0.06775864,0.33679584,0.5127606,0.36903855,0.35013723,0.15934214,0.24842721,-0.1127054,0.49001288,0.1935258,-0.24602267,-0.26384935,0.11799715,Doctor
0.3449325,0.86508775,0.7197668,0.24256116,0.48728913,0.71545637,0.5712244,0.06775864,0.33533594,0.5750119,0.3527869,0.35013723,0.22952545,0.25608477,-0.07646182,0.49001288,0.25490576,-0.21279912,-0.2564122,0.11799715,Doctor
0.5783314,0.96192455,0.8604411,0.6787729,0.6629524,0.61840236,0.49807554,0.3767312,1.0759711,0.5591592,0.35215795,0.54369515,0.26281303,0.26405522,-0.060196184,0.3840249,-0.091902025,-0.19234894,-0.23166034,-0.04241063,Doctor
