Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.023208218,-0.07409224,-0.26825216,0.26840532,0.33577874,-0.11626558,0.048159637,0.43645996,0.5699359,0.5206691,0.037783913,0.615523,0.8543781,1.3670266,0.82662004,1.0931357,0.64800483,1.4435705,1.011747,0.8396285,Doctor
0.023208218,-0.07409224,-0.2204203,0.26840532,0.33577874,-0.11626558,0.09732687,0.43645996,0.5699359,0.5206691,-0.00397291,0.615523,0.8543781,1.3670266,0.8158026,1.0931357,0.64800483,1.4435705,1.0126815,0.8396285,Doctor
0.023208218,-0.07409224,-0.2204203,0.26840532,0.33577874,-0.11626558,0.09732687,0.43645996,0.5699359,0.5206691,-0.00397291,0.615523,0.8543781,1.3670266,0.8158026,1.0931357,0.64800483,1.4435705,1.0126815,0.8396285,Doctor
0.023208218,-0.07409224,-0.2204203,0.26840532,0.33577874,-0.11626558,0.09732687,0.43645996,0.5699359,0.5206691,-0.00397291,0.615523,0.8543781,1.3670266,0.8158026,1.0931357,0.64800483,1.4435705,1.0126815,0.8396285,Doctor
0.023208218,-0.07409224,-0.2204203,0.26840532,0.33577874,-0.11626558,0.09732687,0.43645996,0.5699359,0.5206691,-0.00397291,0.615523,0.8543781,1.3670266,0.8158026,1.0931357,0.64800483,1.4435705,1.0126815,0.8396285,Doctor
0.55838317,-0.07409224,-0.2204203,0.26840532,0.3448284,-0.11626558,0.09732687,0.43645996,0.73034143,0.5206691,-0.00397291,0.615523,0.54313236,1.3670266,0.8158026,1.0931357,0.6176152,1.4435705,1.0126815,0.8396285,Doctor
0.5640329,-0.07409224,0.12191624,0.26840532,0.37379086,-0.11626558,-0.0761438,0.43645996,0.73034143,0.5206691,0.3127199,0.615523,0.5384924,1.3670266,1.129033,1.0931357,0.6180514,1.4435705,1.4206382,0.8396285,Doctor
0.5640329,-0.07409224,0.12191624,0.26840532,0.37379086,-0.11626558,-0.0761438,0.43645996,0.73034143,0.5206691,0.3127199,0.615523,0.5384924,1.3670266,1.129033,1.0931357,0.6180514,1.4435705,1.4206382,0.8396285,Doctor
0.63496846,-0.07409224,0.12191624,0.26840532,0.41289192,-0.11626558,-0.0761438,0.43645996,0.628591,0.5206691,0.3127199,0.615523,0.5444899,1.3670266,1.129033,1.0931357,0.6151828,1.4435705,1.4206382,0.8396285,Doctor
0.63496846,-0.07409224,0.12191624,0.26840532,0.41289192,-0.11626558,-0.0761438,0.43645996,0.628591,0.5206691,0.3127199,0.615523,0.5444899,1.3670266,1.129033,1.0931357,0.6151828,1.4435705,1.4206382,0.8396285,Doctor
0.63496846,-0.07409224,0.12191624,0.26840532,0.41289192,-0.11626558,-0.0761438,0.43645996,0.628591,0.5206691,0.3127199,0.615523,0.5444899,1.3670266,1.129033,1.0931357,0.6151828,1.4435705,1.4206382,0.8396285,Doctor
0.63496846,-0.07409224,0.12191624,0.26840532,0.41289192,-0.11626558,-0.0761438,0.43645996,0.628591,0.5206691,0.3127199,0.615523,0.5444899,1.3670266,1.129033,1.0931357,0.6151828,1.4435705,1.4206382,0.8396285,Doctor
0.63496846,-0.07409224,0.12191624,0.26840532,0.41289192,-0.11626558,-0.0761438,0.43645996,0.628591,0.5206691,0.3127199,0.615523,0.5444899,1.3670266,1.129033,1.0931357,0.6151828,1.4435705,1.4206382,0.8396285,Doctor
0.63496846,-0.07409224,0.12191624,0.26840532,0.41289192,-0.11626558,-0.0761438,0.43645996,0.628591,0.5206691,0.3127199,0.615523,0.5444899,1.3670266,1.129033,1.0931357,0.6151828,1.4435705,1.4206382,0.8396285,Doctor
0.63496846,-0.07409224,0.12191624,0.26840532,0.41289192,-0.11626558,-0.0761438,0.43645996,0.628591,0.5206691,0.3127199,0.615523,0.5444899,1.3670266,1.129033,1.0931357,0.6151828,1.4435705,1.4206382,0.8396285,Doctor
0.00889254,-0.07409224,-0.25687316,0.025073359,0.40875357,-0.11626558,-0.1939927,0.47902983,0.16975555,0.5206691,0.12658823,0.21521994,0.7160403,1.3670266,1.2764518,1.0187018,0.71709526,1.4435705,1.0745809,0.86170346,Doctor
0.28054112,-0.07409224,-0.29570058,0.15938942,0.49445492,-0.11626558,-0.14007293,0.39508682,0.39203596,0.5206691,0.19884871,0.34478045,0.71836483,1.3670266,1.1911633,0.93402493,0.7161198,1.4435705,1.1931734,0.8760656,Doctor
0.3696611,-0.07409224,-0.32883015,0.4275042,0.5384807,-0.11626558,-0.18461467,0.5031796,0.80572444,0.5206691,0.22599609,0.5629144,0.7778807,1.3670266,1.1924664,0.97944885,0.68468016,1.4435705,1.230655,0.8780677,Doctor
0.48601517,-0.07409224,-0.45027274,0.44013274,0.53916216,-0.11626558,-0.22166963,0.42026103,0.80572444,0.5206691,0.24053216,0.5569948,0.8183075,1.3670266,1.1177742,1.0154847,0.6274001,1.4435705,1.2810022,0.90528387,Doctor
0.42814276,-0.25600433,-0.5504194,0.37509748,0.42903665,-0.15982834,-0.16464686,0.34905532,0.8202244,0.4092732,0.2498023,0.8033473,0.8373888,1.3852224,1.1665578,1.0472844,0.6293263,1.3148888,1.2085608,0.90008616,Doctor
0.46515724,-0.26483068,-0.35447952,0.03538276,0.29102814,-0.09206395,-0.048945468,0.07388795,0.6593215,0.48530266,0.33595967,0.810805,0.77308404,1.4147166,1.1731073,0.98343146,0.5923218,1.3203254,1.0908338,0.9089286,Doctor
0.5169958,-0.20312949,-0.18440458,-0.012188453,0.4285991,0.0077520628,-0.051303897,-0.015990531,0.7611826,0.49673,0.32835683,0.760016,0.6713671,1.5118471,1.2032249,0.8933974,0.62400985,1.3026539,1.0624225,0.88447034,Doctor
0.48086742,-0.23213358,-0.05670107,0.02506171,0.46356452,0.15242524,-0.10392891,-0.06748564,0.83214855,0.5289029,0.2982275,0.5796532,0.5731883,1.6280526,1.1138152,0.8364217,0.6539089,1.3634683,1.1273526,0.90313715,Doctor
0.38447505,-0.17387454,-0.11979974,0.046850495,0.52446556,0.2571157,-0.19934885,-0.096848615,0.88179535,0.50241375,0.16551737,0.4278473,0.56722975,1.6854208,1.0348313,0.8049674,0.69445217,1.391277,1.2171731,0.8915651,Doctor
0.13233088,-0.32358205,-0.110939726,0.022362188,0.4090548,0.27478865,-0.11839239,-0.107007496,0.71498984,0.4710728,0.031332374,0.1749754,0.5873108,1.6355499,0.9167408,0.7421393,0.7111667,1.4448642,1.2168454,0.9062498,Doctor
0.029399982,-0.32358205,-0.30058083,0.107059784,0.49835235,0.27478865,-0.20545751,-0.054968357,0.7099404,0.4710728,-0.041737694,0.14744186,0.5849073,1.6355499,0.8688647,0.741247,0.6571774,1.4448642,1.2140874,0.9373538,Doctor
0.22549494,-0.32358205,-0.30058083,0.107059784,0.35746706,0.27478865,-0.20545751,-0.054968357,0.71851164,0.4710728,-0.041737694,0.14744186,1.0433139,1.6355499,0.8688647,0.741247,0.8871326,1.4448642,1.2140874,0.9373538,Doctor
0.22549494,-0.32358205,-0.30058083,0.107059784,0.35746706,0.27478865,-0.20545751,-0.054968357,0.71851164,0.4710728,-0.041737694,0.14744186,1.0433139,1.6355499,0.8688647,0.741247,0.8871326,1.4448642,1.2140874,0.9373538,Doctor
0.22549494,-0.32358205,-0.30058083,0.107059784,0.35746706,0.27478865,-0.20545751,-0.054968357,0.71851164,0.4710728,-0.041737694,0.14744186,1.0433139,1.6355499,0.8688647,0.741247,0.8871326,1.4448642,1.2140874,0.9373538,Doctor
0.618269,-0.32358205,-0.30058083,0.2761752,0.018162295,0.27478865,-0.20545751,0.32123563,0.5541394,0.4710728,-0.041737694,0.5811027,0.93140507,1.6355499,0.8688647,1.069118,0.7745115,1.4448642,1.2140874,0.9178906,Doctor
0.6261997,-0.32358205,0.06311309,0.2686758,0.022521406,0.27478865,-0.34925318,0.2896808,0.60122204,0.4710728,0.50832456,0.5841321,0.9593001,1.6355499,0.9673478,1.0972316,0.83408755,1.4448642,1.3950137,0.9706403,Doctor
0.6261997,-0.32358205,0.06311309,0.2686758,0.022521406,0.27478865,-0.34925318,0.2896808,0.60122204,0.4710728,0.50832456,0.5841321,0.9593001,1.6355499,0.9673478,1.0972316,0.83408755,1.4448642,1.3950137,0.9706403,Doctor
0.60888153,-0.32358205,0.20327212,0.308363,0.05451501,0.27478865,-0.34669638,0.3261388,0.46449888,0.4710728,0.45225585,0.5716441,1.0235455,1.6355499,1.0129486,1.1377004,0.9177428,1.4448642,1.3366896,1.0278256,Doctor
0.4938715,-0.32358205,0.20327212,0.308363,0.11613811,0.27478865,-0.34669638,0.3261388,0.24756064,0.4710728,0.45225585,0.5716441,0.75861335,1.6355499,1.0129486,1.1377004,0.883893,1.4448642,1.3366896,1.0278256,Doctor
0.5452945,-0.32358205,0.10134805,0.32950103,0.50613755,0.27478865,-0.10471199,0.4420669,0.41961306,0.4710728,0.16863647,0.3766147,0.8402722,1.6355499,1.1112747,0.89259493,0.82902145,1.4448642,1.375761,0.90945154,Doctor
0.5819762,-0.32358205,-0.108293146,0.32659185,0.5273971,0.27478865,-0.26757383,0.4257874,0.594175,0.4710728,0.15544444,0.4756425,0.85280436,1.6355499,1.1178616,0.9413433,0.8102608,1.4448642,1.409269,0.9623397,Doctor
0.55382955,-0.6047623,-0.23147076,0.16873318,0.5254289,0.11444912,-0.21041803,0.3322903,0.63846767,0.38020846,0.27552304,0.4677444,0.8420596,1.5617799,1.171098,0.96145254,0.7876161,1.5113243,1.3625118,0.9922423,Doctor
0.47812593,-0.5533967,-0.41223952,0.03279742,0.32165056,-0.22531657,-0.16396224,0.13228926,0.6334717,0.36897466,0.288791,0.44149473,0.7829573,1.6630456,1.1704669,0.9883095,0.78145766,1.3977957,1.2955562,1.0432831,Doctor
0.47523817,-0.5324461,-0.28297383,0.06317849,0.31237265,-0.39392486,-0.114592366,0.08401811,0.66640157,0.36672303,0.36189413,0.5745897,0.75198036,1.6693676,1.1036756,0.93124306,0.76625824,1.3801185,1.2672117,1.0071684,Doctor
0.43820325,-0.24165699,-0.2166895,0.14258574,0.27447695,-0.31036776,-0.16500609,0.07339645,0.5727946,0.6133439,0.4689253,0.5821656,0.7668185,1.5246707,0.95555645,0.8847045,0.710653,1.4654384,1.2569144,0.9780308,Doctor
0.3084861,-0.17923349,-0.06801601,0.077796854,0.24565978,-0.28448665,-0.31511822,0.11351555,0.5166085,0.6133439,0.35398102,0.5948948,0.87579864,1.4285785,0.78128713,0.917983,0.74819493,1.513238,1.263361,1.0076412,Doctor
0.17552465,-0.17923349,-0.21771763,-0.05174051,0.24533659,-0.28448665,-0.28156406,0.1028643,0.4744404,0.6133439,0.36029962,0.61158955,0.88474023,1.4285785,0.82839024,0.9417787,0.7257705,1.513238,1.1963795,0.9828692,Doctor
0.39165676,-0.17923349,-0.55428994,0.2673572,0.7201277,-0.28448665,-0.017608197,0.59677714,0.86230314,0.6133439,0.13210651,0.6831688,0.8838207,1.4285785,1.2068328,0.9943024,0.72114885,1.513238,1.063512,0.9079837,Doctor
0.5755871,-0.17923349,-0.4385325,0.37517086,0.7418536,-0.28448665,-0.099584736,0.66645414,0.86596817,0.6133439,0.16618235,0.69467074,0.8315523,1.4285785,1.2600563,0.95870304,0.64867824,1.513238,1.1318003,0.7444752,Doctor
0.5144866,-0.17923349,-0.43749562,0.31383437,0.58243805,-0.28448665,-0.20990478,0.5244917,0.86596817,0.6133439,0.15731719,0.6912654,0.79225457,1.4285785,1.2627974,0.9082461,0.6695505,1.513238,1.2402554,0.76256776,Doctor
0.6491821,-0.17923349,-0.35396612,0.1339211,0.3590172,-0.28448665,-0.2915291,0.38762328,0.46185425,0.6133439,0.08399057,0.44892874,0.75726515,1.4285785,1.2261308,0.93017197,0.7287258,1.513238,1.2692672,0.82980514,Doctor
