Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,Output
0.3561995,-0.20614445,0.13477568,-0.085688494,0.044593286,-0.2302911,-0.11888507,0.16825311,0.2388803,-0.037653666,0.0828501,0.3667296,0.16130382,-0.13722636,-0.23658675,0.27116975,-0.1695856,-0.6585214,-0.41414586,-0.021115078,Doctor
0.4288434,-0.37090945,0.06030093,-0.028643811,0.11787416,-0.24023116,-0.12777165,0.32285446,0.23887105,0.15097079,0.13413934,0.3573176,0.14559941,-0.13889557,-0.21635008,0.23994514,-0.11256802,-0.5851582,-0.4638489,-0.09487185,Doctor
0.37501422,-0.42060053,-0.012659035,0.1310387,0.025718445,-0.3871904,-0.32179555,0.45342538,0.24830088,0.096940316,0.022891192,0.44419447,0.07916514,-0.1886669,-0.21832192,0.17145085,-0.09770204,-0.5186098,-0.5058299,-0.1513158,Doctor
0.28472552,-0.39965975,-0.22440322,0.20341884,0.07831239,-0.3189488,-0.15164082,0.41781545,0.31268632,0.06808043,0.08758471,0.42931965,0.12932648,-0.25262156,-0.14852718,0.15615016,-0.14123139,-0.46652475,-0.42282283,-0.14557712,Doctor
0.27183983,-0.32827356,-0.18373522,0.21788049,0.15228909,-0.20846856,-0.11606669,0.4397342,0.4711867,0.05653588,0.12233679,0.466782,0.24252455,-0.25451547,-0.108184606,0.25937384,-0.16065249,-0.5249397,-0.40184027,-0.102750376,Doctor
0.41623878,-0.38565338,-0.13702221,0.4690811,0.28582865,-0.15315992,-0.13512695,0.448627,0.5372232,-0.10235899,0.10120698,0.64032036,0.31309304,-0.22757693,-0.10510959,0.3241539,-0.09244495,-0.41281804,-0.35283765,-0.04130526,Doctor
0.42441893,-0.5219518,-0.13785848,0.48489124,0.33254886,-0.2261799,-0.1774337,0.43153587,0.5068439,-0.06432655,0.17124607,0.62929404,0.33480123,-0.23713621,-0.14105539,0.3552893,-0.023278117,-0.35984316,-0.3999448,-0.004511433,Doctor
0.46383122,-0.77359164,-0.16146523,0.5077944,0.3237632,-0.41619763,-0.17926048,0.30015945,0.4866403,0.00886854,0.18147723,0.62700003,0.27535453,-0.31618744,-0.14163929,0.3633656,-0.0042602844,-0.38708475,-0.39550668,0.07880761,Doctor
0.33762455,-0.79568255,-0.15141238,0.35899732,0.29409444,-0.52847105,-0.09668484,0.25921994,0.2702471,-0.22526725,0.17307998,0.4360234,0.23809893,-0.3902446,-0.14528322,0.37659883,0.019449534,-0.4000388,-0.38669392,0.09055503,Doctor
0.4042537,-0.8153178,-0.25864622,0.24769382,0.15755093,-0.91444814,-0.13366042,-0.02504637,0.24773142,-0.3060199,0.049333178,0.42061636,0.23149484,-0.43528476,-0.097246796,0.4399426,-0.07772248,-0.74250865,-0.34631535,0.13263655,Doctor
0.4042537,-0.26565045,0.0896815,0.24769382,0.15755093,-0.6763987,0.004009327,-0.02504637,0.24773142,-0.3204228,-0.11194963,0.42061636,0.23149484,-0.04699636,-0.09300469,0.4399426,-0.07772248,-0.5737083,-0.46473187,0.13263655,Doctor
